onset	duration	trial_type
0	15	discard
15	30	static
45	7.5	coherent
45	120	motion
52.5	5	incoherent
57.5	2.5	coherent
60	2.5	incoherent
62.5	2.5	coherent
65	2.5	incoherent
67.5	2.5	coherent
70	2.5	incoherent
72.5	2.5	coherent
75	2.5	incoherent
77.5	2.5	coherent
80	2.5	incoherent
82.5	2.5	coherent
85	2.5	incoherent
87.5	2.5	coherent
90	5	incoherent
95	2.5	coherent
97.5	5	incoherent
102.5	2.5	coherent
105	2.5	incoherent
107.5	2.5	coherent
110	5	incoherent
115	5	coherent
120	5	incoherent
125	7.5	coherent
132.5	2.5	incoherent
135	12.5	coherent
147.5	7.5	incoherent
155	2.5	coherent
157.5	2.5	incoherent
160	5	coherent
165	15	mae
180	30	static
210	10	coherent
210	120	motion
220	2.5	incoherent
222.5	2.5	coherent
225	2.5	incoherent
227.5	2.5	coherent
230	7.5	incoherent
237.5	7.5	coherent
245	10	incoherent
255	15	coherent
270	5	incoherent
275	2.5	coherent
277.5	5	incoherent
282.5	2.5	coherent
285	2.5	incoherent
287.5	5	coherent
292.5	2.5	incoherent
295	5	coherent
300	20	incoherent
320	2.5	coherent
322.5	5	incoherent
327.5	2.5	coherent
330	15	mae
345	30	static
375	15	discard
