onset	duration	trial_type
0	15	discard
15	30	static
45	17.5	coherent
45	120	motion
62.5	15	incoherent
77.5	20	coherent
97.5	5	incoherent
102.5	5	coherent
107.5	2.5	incoherent
110	2.5	coherent
112.5	5	incoherent
117.5	5	coherent
122.5	5	incoherent
127.5	12.5	coherent
140	2.5	incoherent
142.5	7.5	coherent
150	2.5	incoherent
152.5	12.5	coherent
165	15	mae
180	30	static
210	10	coherent
210	120	motion
220	5	incoherent
225	12.5	coherent
237.5	2.5	incoherent
240	22.5	coherent
262.5	5	incoherent
267.5	30	coherent
297.5	2.5	incoherent
300	30	coherent
330	15	mae
345	30	static
375	15	discard
